"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","1","6","1.6","1.2","-"
"2",1,"Justin Jefferson",MIN,"WR1","1","10","4.0","2.7","-"
"3",1,"Austin Ekeler",LAC,"RB2","2","16","4.5","3.0","-"
"4",1,"Jonathan Taylor",IND,"RB3","2","14","5.8","3.0","-"
"5",1,"Ja'Marr Chase",CIN,"WR2","2","11","6.0","3.4","-"
"6",2,"Saquon Barkley",NYG,"RB4","3","12","6.5","2.9","-"
"7",2,"Bijan Robinson",ATL,"RB5","2","28","7.9","5.1","-"
"8",2,"Travis Kelce",KC,"TE1","4","15","8.3","2.5","-"
"9",2,"Cooper Kupp",LAR,"WR3","3","18","9.9","3.6","-"
"10",2,"Tyreek Hill",MIA,"WR4","4","19","12.0","3.8","-"
"11",2,"Josh Jacobs",LV,"RB6","4","50","12.7","8.3","-"
"12",2,"Tony Pollard",DAL,"RB7","5","19","12.9","4.2","-"
"13",3,"Nick Chubb",CLE,"RB8","6","30","14.2","6.4","-"
"14",3,"Derrick Henry",TEN,"RB9","5","36","15.1","7.0","-"
"15",3,"Stefon Diggs",BUF,"WR5","7","23","15.8","4.2","-"
"16",3,"Davante Adams",LV,"WR6","9","23","15.8","3.7","-"
"17",3,"CeeDee Lamb",DAL,"WR7","8","23","17.0","4.4","-"
"18",3,"A.J. Brown",PHI,"WR8","8","27","19.9","4.3","-"
"19",3,"Travis Etienne Jr.",JAC,"RB10","13","64","20.7","8.8","-"
"20",3,"Rhamondre Stevenson",NE,"RB11","6","39","20.9","7.4","-"
"21",3,"Breece Hall",NYJ,"RB12","8","64","21.3","9.2","-"
"22",3,"Amon-Ra St. Brown",DET,"WR9","13","30","22.1","3.9","-"
"23",4,"Garrett Wilson",NYJ,"WR10","8","31","23.9","5.0","-"
"24",4,"Najee Harris",PIT,"RB13","11","38","24.5","6.3","-"
"25",4,"Jaylen Waddle",MIA,"WR11","18","30","24.8","2.5","-"
"26",4,"Mark Andrews",BAL,"TE2","20","52","26.6","7.3","-"
"27",4,"Kenneth Walker III",SEA,"RB14","9","65","29.0","12.2","-"
"28",4,"Tee Higgins",CIN,"WR12","22","44","30.4","4.7","-"
"29",4,"DeVonta Smith",PHI,"WR13","16","43","31.5","5.2","-"
"30",4,"Chris Olave",NO,"WR14","19","41","31.7","5.1","-"
"31",4,"Patrick Mahomes II",KC,"QB1","21","45","34.7","5.6","-"
"32",4,"Aaron Jones",GB,"RB15","23","51","35.2","7.5","-"
"33",4,"Josh Allen",BUF,"QB2","24","45","35.9","6.6","-"
"34",4,"T.J. Hockenson",MIN,"TE3","20","55","36.5","10.0","-"
"35",5,"Dalvin Cook",MIN,"RB16","15","74","36.7","14.6","-"
"36",5,"Jalen Hurts",PHI,"QB3","20","45","36.9","7.6","-"
"37",5,"DK Metcalf",SEA,"WR15","28","55","37.7","6.6","-"
"38",5,"Amari Cooper",CLE,"WR16","30","56","41.8","6.5","-"
"39",5,"Deebo Samuel",SF,"WR17","29","64","42.4","8.0","-"
"40",5,"Jahmyr Gibbs",DET,"RB17","14","77","43.6","14.9","-"
"41",5,"Dameon Pierce",HOU,"RB18","22","74","44.1","10.4","-"
"42",5,"Miles Sanders",CAR,"RB19","22","111","44.2","16.0","-"
"43",5,"Keenan Allen",LAC,"WR18","34","67","45.1","7.6","-"
"44",5,"J.K. Dobbins",BAL,"RB20","28","80","45.4","12.8","-"
"45",5,"DJ Moore",CHI,"WR19","30","61","46.3","7.4","-"
"46",5,"Cam Akers",LAR,"RB21","28","87","47.2","12.5","-"
"47",5,"DeAndre Hopkins",ARI,"WR20","30","64","49.4","7.7","-"
"48",6,"Joe Burrow",CIN,"QB4","32","69","53.1","9.9","-"
"49",6,"George Kittle",SF,"TE4","32","94","53.2","12.4","-"
"50",6,"Christian Watson",GB,"WR21","23","79","55.8","10.8","-"
"51",6,"Terry McLaurin",WAS,"WR22","39","67","55.9","5.8","-"
"52",6,"Drake London",ATL,"WR23","29","73","56.5","11.0","-"
"53",6,"James Conner",ARI,"RB22","27","89","56.5","11.2","-"
"54",6,"Chris Godwin",TB,"WR24","38","77","56.6","9.1","-"
"55",6,"Tyler Lockett",SEA,"WR25","37","96","57.8","11.8","-"
"56",6,"Lamar Jackson",BAL,"QB5","30","83","58.3","13.9","-"
"57",6,"Jerry Jeudy",DEN,"WR26","36","88","58.8","9.8","-"
"58",6,"Calvin Ridley",JAC,"WR27","34","79","58.9","11.4","-"
"59",6,"Justin Fields",CHI,"QB6","27","75","59.5","13.7","-"
"60",6,"Joe Mixon",CIN,"RB23","29","90","47.9","16.2","-"
"61",6,"Isiah Pacheco",KC,"RB24","42","115","60.8","13.7","-"
"62",6,"Dallas Goedert",PHI,"TE5","54","72","61.3","7.6","-"
"63",6,"Michael Pittman Jr.",IND,"WR28","38","80","61.5","8.3","-"
"64",6,"Rachaad White",TB,"RB25","41","118","62.6","15.5","-"
"65",6,"Kyle Pitts",ATL,"TE6","32","94","62.6","12.4","-"
"66",6,"D'Andre Swift",PHI,"RB26","40","95","62.7","13.1","-"
"67",6,"Mike Williams",LAC,"WR29","41","97","63.7","12.5","-"
"68",6,"David Montgomery",DET,"RB27","37","87","65.6","13.4","-"
"69",6,"Brandon Aiyuk",SF,"WR30","40","98","68.3","10.9","-"
"70",6,"Mike Evans",TB,"WR31","38","88","68.5","11.9","-"
"71",6,"Christian Kirk",JAC,"WR32","37","97","68.7","12.1","-"
"72",7,"Justin Herbert",LAC,"QB7","40","85","71.6","10.2","-"
"73",7,"Trevor Lawrence",JAC,"QB8","46","94","72.2","10.1","-"
"74",7,"Javonte Williams",DEN,"RB28","41","138","72.8","18.9","-"
"75",7,"Alvin Kamara",NO,"RB29","53","113","73.4","13.3","-"
"76",7,"Darren Waller",NYG,"TE7","45","95","75.7","12.3","-"
"77",7,"Marquise Brown",ARI,"WR33","34","97","79.6","11.4","-"
"78",7,"Diontae Johnson",PIT,"WR34","55","111","80.2","12.5","-"
"79",7,"Brian Robinson Jr.",WAS,"RB30","57","116","81.9","13.3","-"
"80",7,"Khalil Herbert",CHI,"RB31","53","120","82.6","17.9","-"
"81",7,"James Cook",BUF,"RB32","63","108","84.0","8.9","-"
"82",7,"Treylon Burks",TEN,"WR35","65","121","84.3","11.7","-"
"83",7,"AJ Dillon",GB,"RB33","74","128","86.5","11.0","-"
"84",7,"Evan Engram",JAC,"TE8","62","102","87.3","11.0","-"
"85",7,"Dak Prescott",DAL,"QB9","54","119","88.3","12.3","-"
"86",7,"Jamaal Williams",NO,"RB34","61","151","89.6","18.5","-"
"87",7,"Rashaad Penny",PHI,"RB35","63","138","89.9","16.8","-"
"88",7,"Pat Freiermuth",PIT,"TE9","72","102","90.0","7.4","-"
"89",7,"George Pickens",PIT,"WR36","69","129","91.1","11.7","-"
"90",7,"Jahan Dotson",WAS,"WR37","64","122","91.2","12.2","-"
"91",7,"Deshaun Watson",CLE,"QB10","53","125","92.3","15.7","-"
"92",7,"Jordan Addison",MIN,"WR38","68","114","92.9","13.8","-"
"93",7,"Jaxon Smith-Njigba",SEA,"WR39","52","118","93.8","17.4","-"
"94",7,"Damien Harris",BUF,"RB36","70","132","95.2","14.2","-"
"95",7,"David Njoku",CLE,"TE10","57","135","95.8","11.9","-"
"96",8,"Courtland Sutton",DEN,"WR40","66","113","99.6","11.1","-"
"97",8,"Tua Tagovailoa",MIA,"QB11","63","151","100.3","15.5","-"
"98",8,"Daniel Jones",NYG,"QB12","79","155","100.4","14.4","-"
"99",8,"Antonio Gibson",WAS,"RB37","87","143","101.4","14.2","-"
"100",8,"Kadarius Toney",KC,"WR41","72","120","103.3","10.7","-"
"101",8,"Brandin Cooks",DAL,"WR42","77","124","103.6","9.4","-"
"102",8,"Quentin Johnston",LAC,"WR43","77","118","104.9","12.3","-"
"103",8,"Rashod Bateman",BAL,"WR44","82","136","105.1","12.6","-"
"104",8,"Gabe Davis",BUF,"WR45","79","133","106.1","9.8","-"
"105",8,"Kirk Cousins",MIN,"QB13","86","125","108.2","13.1","-"
"106",8,"Elijah Mitchell",SF,"RB38","83","165","108.7","19.4","-"
"107",8,"Geno Smith",SEA,"QB14","71","160","110.6","17.3","-"
"108",8,"JuJu Smith-Schuster",NE,"WR46","85","145","110.9","12.6","-"
"109",8,"Tyler Allgeier",ATL,"RB39","61","192","111.1","33.4","-"
"110",8,"Jakobi Meyers",LV,"WR47","92","140","111.3","9.3","-"
"111",8,"Dalton Schultz",HOU,"TE11","84","158","111.3","17.9","-"
"112",8,"Alexander Mattison",MIN,"RB40","72","160","112.4","19.4","-"
"113",8,"Jameson Williams",DET,"WR48","82","149","114.3","17.5","-"
"114",8,"Samaje Perine",DEN,"RB41","85","177","115.7","22.6","-"
"115",8,"Aaron Rodgers",NYJ,"QB15","86","167","118.7","16.2","-"
"116",8,"Cole Kmet",CHI,"TE12","102","166","121.0","17.6","-"
"117",8,"Michael Thomas",NO,"WR49","79","165","122.5","18.4","-"
"118",8,"Darnell Mooney",CHI,"WR50","107","151","122.5","11.6","-"
"119",8,"Jeff Wilson Jr.",MIA,"RB42","81","201","122.7","22.7","-"
"120",8,"Elijah Moore",CLE,"WR51","98","150","123.7","12.2","-"
"121",8,"Chigoziem Okonkwo",TEN,"TE13","93","189","126.5","21.6","-"
"122",8,"Jared Goff",DET,"QB16","86","176","127.4","19.3","-"
"123",8,"Allen Lazard",NYJ,"WR52","106","152","127.8","11.2","-"
"124",8,"D'Onta Foreman",CHI,"RB43","84","256","128.5","30.0","-"
"125",9,"Zay Flowers",BAL,"WR53","60","261","128.7","41.1","-"
"126",9,"Greg Dulcich",DEN,"TE14","89","182","130.9","21.1","-"
"127",9,"Devin Singletary",HOU,"RB44","105","331","132.7","39.7","-"
"128",9,"Raheem Mostert",MIA,"RB45","90","220","133.0","27.0","-"
"129",9,"Nico Collins",HOU,"WR54","82","194","134.2","23.0","-"
"130",9,"Zay Jones",JAC,"WR55","90","173","136.0","16.7","-"
"131",9,"Adam Thielen",CAR,"WR56","111","162","137.2","11.4","-"
"132",9,"Kenneth Gainwell",PHI,"RB46","114","217","138.5","22.0","-"
"133",9,"Russell Wilson",DEN,"QB17","100","163","139.0","19.1","-"
"134",9,"Rondale Moore",ARI,"WR57","103","195","140.2","22.2","-"
"135",9,"Tyler Boyd",CIN,"WR58","118","184","140.5","12.3","-"
"136",9,"Zach Charbonnet",SEA,"RB47","63","289","140.7","45.5","-"
"137",9,"Ezekiel Elliott",FA,"RB48","74","210","132.1","27.8","-"
"138",9,"DJ Chark Jr.",CAR,"WR59","112","212","145.2","25.2","-"
"139",9,"Donovan Peoples-Jones",CLE,"WR60","121","196","147.4","19.8","-"
"140",9,"Tyler Higbee",LAR,"TE15","130","182","147.8","13.2","-"
"141",9,"Jerick McKinnon",KC,"RB49","71","224","140.9","27.6","-"
"142",9,"Gerald Everett",LAC,"TE16","135","206","153.2","17.1","-"
"143",9,"Odell Beckham Jr.",BAL,"WR61","67","298","154.3","49.9","-"
"144",9,"Dawson Knox",BUF,"TE17","104","236","157.1","37.0","-"
"145",9,"Jaylen Warren",PIT,"RB50","116","192","148.8","17.4","-"
"146",9,"Skyy Moore",KC,"WR62","97","222","159.1","25.3","-"
"147",9,"Wan'Dale Robinson",NYG,"WR63","126","231","160.2","26.7","-"
"148",9,"Mike Gesicki",NE,"TE18","127","218","160.2","22.2","-"
"149",9,"Derek Carr",NO,"QB18","120","202","164.0","16.7","-"
"150",9,"Cordarrelle Patterson",ATL,"RB51","120","240","164.9","34.1","-"
"151",9,"Juwan Johnson",NO,"TE19","101","235","165.3","28.5","-"
"152",9,"Hunter Renfrow",LV,"WR64","127","214","165.5","26.2","-"
"153",9,"Michael Gallup",DAL,"WR65","130","211","166.3","23.6","-"
"154",9,"Matthew Stafford",LAR,"QB19","113","197","166.5","17.6","-"
"155",10,"Trey McBride",ARI,"TE20","136","258","171.4","27.1","-"
"156",10,"Romeo Doubs",GB,"WR66","129","212","172.3","25.2","-"
"157",10,"Chuba Hubbard",CAR,"RB52","139","235","172.4","27.7","-"
"158",10,"Clyde Edwards-Helaire",KC,"RB53","139","251","173.1","25.9","-"
"159",10,"Leonard Fournette",FA,"RB54","115","237","154.4","28.9","-"
"160",10,"Rashid Shaheed",NO,"WR67","130","216","174.7","23.7","-"
"161",10,"Zach Ertz",ARI,"TE21","121","273","175.0","40.9","-"
"162",10,"Alec Pierce",IND,"WR68","135","212","176.7","22.1","-"
"163",10,"K.J. Osborn",MIN,"WR69","121","228","179.1","28.0","-"
"164",10,"San Francisco 49ers",SF,"DST1","148","247","160.4","17.4","-"
"165",10,"Michael Carter",NYJ,"RB55","120","248","171.6","26.4","-"
"166",10,"Buffalo Bills",BUF,"DST2","152","243","163.3","16.9","-"
"167",10,"Gus Edwards",BAL,"RB56","138","262","182.0","29.9","-"
"168",10,"Kyler Murray",ARI,"QB20","85","332","174.7","56.4","-"
"169",10,"Dallas Cowboys",DAL,"DST3","152","253","166.0","21.6","-"
"170",10,"Noah Fant",SEA,"TE22","153","258","188.1","24.2","-"
"171",10,"Chase Claypool",CHI,"WR70","133","216","188.6","22.8","-"
"172",10,"Curtis Samuel",WAS,"WR71","130","242","189.3","23.6","-"
"173",10,"Kareem Hunt",FA,"RB57","114","208","152.7","24.1","-"
"174",10,"Taysom Hill",NO,"TE23","125","267","191.2","35.4","-"
"175",10,"Joshua Palmer",LAC,"WR72","139","242","182.9","26.4","-"
"176",10,"Philadelphia Eagles",PHI,"DST4","149","255","173.8","26.6","-"
"177",10,"Anthony Richardson",IND,"QB21","85","334","154.7","64.1","-"
"178",10,"Denver Broncos",DEN,"DST5","156","263","176.7","19.7","-"
"179",10,"New York Jets",NYJ,"DST6","155","315","180.3","38.2","-"
"180",10,"Kenny Pickett",PIT,"QB22","134","254","198.0","28.4","-"
"181",10,"Justin Tucker",BAL,"K1","166","300","180.9","25.4","-"
"182",10,"Devon Achane",MIA,"RB58","84","292","171.8","64.5","-"
"183",10,"Zamir White",LV,"RB59","143","272","182.0","32.5","-"
"184",10,"Jordan Love",GB,"QB23","124","275","192.9","34.6","-"
"185",10,"Allen Robinson II",PIT,"WR73","123","271","204.3","31.4","-"
"186",10,"New England Patriots",NE,"DST7","155","256","178.1","19.5","-"
"187",10,"Jimmy Garoppolo",LV,"QB24","163","316","204.7","36.1","-"
"188",10,"Darius Slayton",NYG,"WR74","145","299","205.2","27.1","-"
"189",10,"Hunter Henry",NE,"TE24","142","265","206.1","33.8","-"
"190",10,"Isaiah Hodgins",NYG,"WR75","107","265","198.2","32.1","-"
"191",10,"Tyler Bass",BUF,"K2","174","322","189.8","27.5","-"
"192",10,"Dalton Kincaid",BUF,"TE25","65","232","137.0","39.2","-"
"193",10,"Joshua Kelley",LAC,"RB60","147","275","191.8","33.9","-"
"194",10,"James Robinson",NE,"RB61","139","277","200.7","38.0","-"
"195",10,"Baltimore Ravens",BAL,"DST8","164","225","183.3","16.2","-"
"196",10,"Kendre Miller",NO,"RB62","83","316","183.6","60.6","-"
"197",11,"Hayden Hurst",CAR,"TE26","156","265","204.2","31.3","-"
"198",11,"John Metchie III",HOU,"WR76","127","328","212.5","37.6","-"
"199",11,"Daniel Carlson",LV,"K3","171","301","187.8","21.3","-"
"200",11,"Bryce Young",CAR,"QB25","117","323","189.8","41.8","-"
"201",11,"Marquez Valdes-Scantling",KC,"WR77","150","271","208.3","22.4","-"
"202",11,"Jalin Hyatt",NYG,"WR78","106","334","209.4","53.4","-"
"203",11,"Van Jefferson",LAR,"WR79","123","265","221.4","27.6","-"
"204",11,"Harrison Butker",KC,"K4","179","302","196.5","21.5","-"
"205",11,"Mecole Hardman Jr.",NYJ,"WR80","174","247","205.5","16.9","-"
"206",11,"Chase Edmonds",TB,"RB63","138","260","196.8","30.9","-"
"207",11,"Tyquan Thornton",NE,"WR81","146","323","216.0","29.1","-"
"208",11,"Tampa Bay Buccaneers",TB,"DST9","156","258","209.0","23.4","-"
"209",11,"Kansas City Chiefs",KC,"DST10","171","266","212.3","20.8","-"
"210",11,"Evan McPherson",CIN,"K5","184","303","204.0","19.8","-"
"211",11,"New Orleans Saints",NO,"DST11","170","297","213.1","21.6","-"
"212",11,"Cincinnati Bengals",CIN,"DST12","185","296","214.6","25.6","-"
"213",11,"Jerome Ford",CLE,"RB64","154","343","225.1","49.5","-"
"214",11,"Russell Gage",TB,"WR82","188","263","226.6","18.6","-"
"215",11,"DeVante Parker",NE,"WR83","149","286","218.8","28.7","-"
"216",11,"Pittsburgh Steelers",PIT,"DST13","174","295","219.0","20.4","-"
"217",11,"Irv Smith Jr.",CIN,"TE27","142","285","219.4","42.9","-"
"218",11,"Parris Campbell",NYG,"WR84","194","270","220.8","15.9","-"
"219",11,"Robert Woods",HOU,"WR85","162","269","221.7","24.5","-"
"220",11,"Younghoe Koo",ATL,"K6","205","304","224.3","20.4","-"
